Motif	Factor	Evidence	Curated
GM.5.0.Sox.0001	h1SMcG0008523	Orthologs	N
GM.5.0.Homeodomain.0001	h1SMcG0021332	Orthologs	N
GM.5.0.Mixed.0001	h1SMcG0000971	Orthologs	N
GM.5.0.Nuclear_receptor.0001	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.Mixed.0002	h1SMcG0011535	Orthologs	N
GM.5.0.Mixed.0002	h1SMcG0016366	Orthologs	N
GM.5.0.Nuclear_receptor.0002	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.bHLH.0001	h1SMcG0020191	Orthologs	N
GM.5.0.bHLH.0001	h1SMcG0023005	Orthologs	N
GM.5.0.bHLH.0001	h1SMcG0004307	Orthologs	N
GM.5.0.bHLH.0001	h1SMcG0011688	Orthologs	N
GM.5.0.Myb_SANT.0001	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.C2H2_ZF.0001	h1SMcG0002697	Orthologs	N
GM.5.0.C2H2_ZF.0001	h1SMcG0000656	Orthologs	N
GM.5.0.GATA.0001	h1SMcG0009369	Orthologs	N
GM.5.0.C2H2_ZF.0002	h1SMnG0012616	Orthologs	N
GM.5.0.C2H2_ZF.0002	h1SMcG0006102	Orthologs	N
GM.5.0.C2H2_ZF.0002	h1SMcG0011242	Orthologs	N
GM.5.0.bZIP.0001	h1SMcG0016730	Orthologs	N
GM.5.0.bZIP.0001	h1SMcG0008907	Orthologs	N
GM.5.0.bZIP.0001	h1SMcG0010789	Orthologs	N
GM.5.0.Homeodomain.0002	h1SMcG0020634	Orthologs	N
GM.5.0.Homeodomain.0002	h1SMcG0016366	Orthologs	N
GM.5.0.Homeodomain.0002	h1SMcG0002500	Orthologs	N
GM.5.0.Homeodomain.0002	h1SMcG0002883	Orthologs	N
GM.5.0.Homeodomain.0002	h1SMcG0022849	Orthologs	N
GM.5.0.Ets.0001	h1SMcG0000267	Orthologs	N
GM.5.0.Ets.0001	h1SMcG0014005	Orthologs	N
GM.5.0.Ets.0001	h1SMnG0022954	Orthologs	N
GM.5.0.Ets.0001	h1SMcG0021529	Orthologs	N
GM.5.0.bZIP.0002	h1SMcG0010609	Orthologs	N
GM.5.0.bZIP.0002	h1SMcG0017602	Orthologs	N
GM.5.0.bZIP.0002	h1SMcG0004816	Orthologs	N
GM.5.0.bZIP.0002	h1SMcG0008373	Orthologs	N
GM.5.0.IRF.0001	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.bHLH.0002	h1SMcG0001531	Orthologs	N
GM.5.0.bHLH.0002	h1SMcG0016956	Orthologs	N
GM.5.0.Nuclear_receptor.0003	h1SMcG0015595	Orthologs	N
