gene	COG_category
h1SMcG0000001	-
h1SMcG0000002	E
h1SMcG0000003	E
h1SMcG0000004	-
h1SMcG0000005	-
h1SMcG0000006	-
h1SMcG0000007	-
h1SMcG0000008	K
h1SMcG0000009	T
h1SMcG0000010	-
h1SMcG0000011	T
h1SMcG0000012	K
h1SMcG0000013	K
h1SMcG0000014	T
h1SMcG0000015	-
h1SMcG0000016	S
h1SMcG0000017	T
h1SMcG0000018	T
h1SMcG0000019	T
h1SMcG0000020	-
h1SMcG0000021	-
h1SMcG0000022	-
h1SMcG0000023	T
h1SMcG0000024	K
h1SMcG0000025	T
h1SMcG0000026	O
h1SMcG0000027	A
h1SMcG0000028	I
h1SMcG0000029	O
h1SMcG0000030	-
h1SMcG0000031	-
h1SMcG0000032	L
h1SMcG0000033	-
h1SMcG0000034	-
h1SMcG0000035	J
h1SMcG0000036	O
h1SMcG0000037	O
h1SMcG0000038	-
h1SMcG0000039	T
h1SMcG0000040	U
h1SMcG0000041	-
h1SMcG0000042	T
h1SMcG0000043	U
h1SMcG0000044	-
h1SMcG0000045	O
h1SMcG0000046	-
h1SMcG0000047	U
h1SMcG0000048	-
h1SMcG0000049	A
h1SMcG0000050	S
h1SMcG0000051	-
h1SMcG0000052	-
h1SMcG0000053	-
h1SMcG0000054	S
h1SMcG0000055	-
h1SMcG0000056	J
h1SMcG0000057	-
h1SMcG0000058	O
h1SMcG0000059	J
h1SMcG0000060	ADK
h1SMcG0000061	J
h1SMcG0000062	J
h1SMcG0000063	-
h1SMcG0000064	TZ
h1SMcG0000065	F
h1SMcG0000066	O
h1SMcG0000067	P
h1SMcG0000068	-
h1SMcG0000069	-
h1SMcG0000070	T
h1SMcG0000071	-
h1SMcG0000072	-
h1SMcG0000073	JO
h1SMcG0000074	JO
h1SMcG0000075	E
h1SMcG0000076	P
h1SMcG0000077	-
h1SMcG0000078	T
h1SMcG0000079	K
h1SMcG0000080	-
h1SMcG0000081	S
h1SMcG0000082	-
h1SMcG0000083	T
h1SMcG0000084	-
h1SMcG0000085	K
h1SMcG0000086	T
h1SMcG0000087	P
h1SMcG0000088	P
h1SMcG0000089	-
h1SMcG0000090	-
h1SMcG0000091	-
h1SMcG0000092	-
h1SMcG0000093	E
h1SMcG0000094	S
h1SMcG0000095	E
h1SMcG0000096	S
h1SMcG0000097	-
h1SMcG0000098	O
h1SMcG0000099	-
h1SMcG0000100	P
h1SMcG0000101	S
h1SMcG0000102	-
h1SMcG0000103	-
h1SMcG0000104	-
h1SMcG0000105	O
h1SMcG0000106	G
h1SMcG0000107	S
h1SMcG0000108	C
h1SMcG0000109	J
h1SMcG0000110	-
h1SMcG0000111	-
h1SMcG0000112	-
h1SMcG0000113	-
h1SMcG0000114	L
h1SMcG0000115	-
h1SMcG0000116	T
h1SMcG0000117	L
h1SMcG0000118	L
h1SMcG0000119	-
h1SMcG0000120	-
h1SMcG0000121	-
h1SMcG0000122	S
h1SMcG0000123	-
h1SMcG0000124	-
h1SMcG0000125	E
h1SMcG0000126	-
h1SMcG0000127	O
h1SMcG0000128	-
h1SMcG0000129	OU
h1SMcG0000130	E
h1SMcG0000131	T
h1SMcG0000132	O
h1SMcG0000133	-
h1SMcG0000134	L
h1SMcG0000135	-
h1SMcG0000136	-
h1SMcG0000137	M
h1SMcG0000138	T
h1SMcG0000139	-
h1SMcG0000140	M
h1SMcG0000141	O
h1SMcG0000142	-
h1SMcG0000143	K
h1SMcG0000144	K
h1SMcG0000145	S
h1SMcG0000146	K
h1SMcG0000147	S
h1SMcG0000148	-
h1SMcG0000149	S
h1SMcG0000150	U
h1SMcG0000151	S
h1SMcG0000152	S
h1SMcG0000153	EG
h1SMcG0000154	S
h1SMcG0000155	S
h1SMcG0000156	S
h1SMcG0000157	-
h1SMcG0000158	-
h1SMcG0000159	G
h1SMcG0000160	T
h1SMcG0000161	Z
h1SMcG0000162	J
h1SMcG0000163	O
h1SMcG0000164	OT
h1SMcG0000165	S
h1SMcG0000166	-
h1SMcG0000167	T
h1SMcG0000168	-
h1SMcG0000169	S
h1SMcG0000170	S
h1SMcG0000171	S
h1SMcG0000172	-
h1SMcG0000173	L
h1SMcG0000174	Z
h1SMcG0000175	J
h1SMcG0000176	J
h1SMcG0000177	O
h1SMcG0000178	S
h1SMcG0000179	K
h1SMcG0000180	I
h1SMcG0000181	K
h1SMcG0000182	M
h1SMcG0000183	S
h1SMcG0000184	H
h1SMcG0000185	U
h1SMcG0000186	-
h1SMcG0000187	-
h1SMcG0000188	P
h1SMcG0000189	K
h1SMcG0000190	O
h1SMcG0000191	J
h1SMcG0000192	-
h1SMcG0000193	I
h1SMcG0000194	P
h1SMcG0000195	I
h1SMcG0000196	T
h1SMcG0000197	-
h1SMcG0000198	-
h1SMcG0000199	A
h1SMcG0000200	-
h1SMcG0000201	Z
h1SMcG0000202	Z
h1SMcG0000203	Z
h1SMcG0000204	Z
h1SMcG0000205	Z
h1SMcG0000206	D
h1SMcG0000207	S
h1SMcG0000208	-
h1SMcG0000209	-
h1SMcG0000210	-
h1SMcG0000211	K
h1SMcG0000212	-
h1SMcG0000213	I
h1SMcG0000214	I
h1SMcG0000215	S
h1SMcG0000216	-
h1SMcG0000217	-
h1SMcG0000218	I
h1SMcG0000219	M
h1SMcG0000220	S
h1SMcG0000221	-
h1SMcG0000222	-
h1SMcG0000223	O
