target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	690.37	8	0.194754
h1SMnT0035429.1	433	186.391	6	0.541009
h1SMnT0035428.2	1171	923.359	56.5334	1.02899
h1SMnT0035430.1	225	34.0934	1	0.492956
h1SMcT0022937.1	1148	900.359	0	0
h1SMnT0035345.1	487	239.922	1	0.07005
h1SMcT0022992.1	5186	4938.36	59.0015	0.200797
h1SMnT0035168.1	667	419.508	0	0
h1SMnT0035169.1	682	434.485	5	0.193407
h1SMnT0035364.1	3295	3047.36	0	0
h1SMnT0035365.1	822	574.388	0	0
h1SMnT0035366.1	3294	3046.36	50.6252	0.279295
h1SMnT0035367.1	2210	1962.36	0	0
h1SMnT0035368.1	649	401.52	0	0
h1SMnT0035369.1	3295	3047.36	40.6993	0.224461
h1SMnT0035370.1	1798	1550.36	146.793	1.59129
h1SMcT0023064.1	649	401.52	31.3944	1.31408
h1SMcT0022911.1	964	716.37	4.80509	0.112731
h1SMcT0022912.1	1707	1459.36	90.8289	1.04602
h1SMnT0035348.1	2018	1770.36	308.31	2.92688
h1SMcT0022995.1	1592	1344.36	0	0
h1SMnT0035349.1	581	333.582	10.6609	0.537118
h1SMnT0035350.1	437	190.337	86.1915	7.61061
h1SMnT0035351.1	251	40.3447	5	2.08286
h1SMnT0035439.1	173	33.4637	0	0
h1SMcT0023009.1	1809	1561.36	2.22725	0.0239742
h1SMnT0035408.1	676	428.485	2.26497	0.0888394
h1SMnT0035149.1	469	222.046	0	0
h1SMcT0022739.1	1385	1137.36	0	0
h1SMcT0022740.2	1315	1067.36	250	3.93647
h1SMnT0035008.1	217	33.1407	0	0
h1SMnT0035009.1	403	156.903	0	0
h1SMnT0035304.1	214	32.9054	0	0
h1SMcT0023054.1	1130	882.359	0	0
h1SMcT0023055.1	5046	4798.36	280.39	0.982081
h1SMcT0022976.1	1057	809.359	0	0
h1SMnT0035249.1	307	70.8658	0	0
h1SMnT0035250.1	410	163.779	14114	1448.34
h1SMnT0035251.1	2625	2377.36	23	0.162596
h1SMcT0022931.1	1208	960.359	0	0
h1SMnT0035252.1	344	101.411	0	0
h1SMnT0035253.1	459	212.117	0	0
h1SMcT0022932.1	1030	782.359	786	16.8847
h1SMnT0035254.1	593	345.577	0	0
h1SMcT0022933.2	2471	2223.36	2680.3	20.2606
h1SMnT0035255.1	3386	3138.36	305.067	1.63369
h1SMnT0035204.1	222	33.546	0	0
h1SMnT0035205.1	1081	833.359	9	0.181505
h1SMnT0035206.1	369	124.268	0	0
h1SMcT0022885.2	2036	1788.36	0	0
h1SMcT0022886.1	479	231.959	0	0
h1SMnT0035137.1	1237	989.359	0	0
h1SMnT0035138.1	362	117.78	7.41661	1.0583
h1SMnT0035139.1	2159	1911.36	0	0
h1SMnT0035140.1	538	290.703	25.3263	1.4642
h1SMnT0035141.1	3293	3045.36	0	0
h1SMnT0035142.1	363	118.708	1132.46	160.332
h1SMnT0035173.1	1063	815.359	462.306	9.52925
h1SMnT0035174.1	867	619.388	18091.3	490.891
h1SMnT0035175.1	3291	3043.36	0	0
h1SMnT0035176.1	363	118.708	1132.46	160.332
h1SMnT0035177.1	2432	2184.36	6315.88	48.5946
h1SMcT0022892.1	2757	2509.36	1672.23	11.1998
h1SMcT0022664.1	1587	1339.36	114.103	1.43179
h1SMnT0034919.1	1713	1465.36	102.312	1.17344
h1SMcT0022665.1	9704	9456.36	26.4801	0.0470624
h1SMcT0022666.1	7223	6975.36	0	0
h1SMcT0022667.1	10811	10563.4	15.6069	0.0248308
h1SMnT0035274.2	204	32.2856	0	0
