target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	863	3	0.109103
h1SMnT0035429.1	433	358	19	1.6657
h1SMnT0035428.2	1171	1096	12.8627	0.368337
h1SMnT0035430.1	225	150	1	0.209235
h1SMcT0022937.1	1148	1073	2	0.0584999
h1SMnT0035345.1	487	412	0	0
h1SMcT0022992.1	5186	5111	18.5019	0.113615
h1SMnT0035168.1	667	592	0	0
h1SMnT0035169.1	682	607	1.34642	0.0696174
h1SMnT0035364.1	3295	3220	9.63872e-08	9.39482e-10
h1SMnT0035365.1	822	747	0.026148	0.00109861
h1SMnT0035366.1	3294	3219	234.057	2.28205
h1SMnT0035367.1	2210	2135	50.243	0.738588
h1SMnT0035368.1	649	574	0	0
h1SMnT0035369.1	3295	3220	23.1252	0.2254
h1SMnT0035370.1	1798	1723	39.8836	0.726497
h1SMcT0023064.1	649	574	3.37766	0.184684
h1SMcT0022911.1	964	889	268.55	9.48089
h1SMcT0022912.1	1707	1632	66.2361	1.2738
h1SMnT0035348.1	2018	1943	80.5191	1.30062
h1SMcT0022995.1	1592	1517	0	0
h1SMnT0035349.1	581	506	5.08749	0.315557
h1SMnT0035350.1	437	362	11.5005	0.997085
h1SMnT0035351.1	251	176	0	0
h1SMnT0035439.1	173	98	0	0
h1SMcT0023009.1	1809	1734	2.94549	0.053313
h1SMnT0035408.1	676	601	4.97908	0.260016
h1SMnT0035149.1	469	394	0	0
h1SMcT0022739.1	1385	1310	0	0
h1SMcT0022740.2	1315	1240	116	2.93604
h1SMnT0035008.1	217	142	0	0
h1SMnT0035009.1	403	328	0	0
h1SMnT0035304.1	214	139	0	0
h1SMcT0023054.1	1130	1055	2.0435	0.0607921
h1SMcT0023055.1	5046	4971	52.798	0.333348
h1SMcT0022976.1	1057	982	0	0
h1SMnT0035249.1	307	232	0	0
h1SMnT0035250.1	410	335	24377	2283.81
h1SMnT0035251.1	2625	2550	2.00471	0.0246739
h1SMcT0022931.1	1208	1133	1	0.027701
h1SMnT0035252.1	344	269	0	0
h1SMnT0035253.1	459	384	0	0
h1SMcT0022932.1	1030	955	583	19.1598
h1SMnT0035254.1	593	518	0	0
h1SMcT0022933.2	2471	2396	870.833	11.407
h1SMnT0035255.1	3386	3311	56.1672	0.532413
h1SMnT0035204.1	222	147	0	0
h1SMnT0035205.1	1081	1006	2	0.062396
h1SMnT0035206.1	369	294	0	0
h1SMcT0022885.2	2036	1961	0	0
h1SMcT0022886.1	479	404	7.10121	0.551666
h1SMnT0035137.1	1237	1162	0	0
h1SMnT0035138.1	362	287	19.0157	2.07948
h1SMnT0035139.1	2159	2084	572.802	8.62644
h1SMnT0035140.1	538	463	2.81585	0.190877
h1SMnT0035141.1	3293	3218	1.96082e-07	1.91239e-09
h1SMnT0035142.1	363	288	7.12269e-06	7.76205e-07
h1SMnT0035173.1	1063	988	0	0
h1SMnT0035174.1	867	792	12460.7	493.79
h1SMnT0035175.1	3291	3216	3.09835e-07	3.02371e-09
h1SMnT0035176.1	363	288	7.12269e-06	7.76205e-07
h1SMnT0035177.1	2432	2357	1744.19	23.2252
h1SMcT0022892.1	2757	2682	377.991	4.42331
h1SMcT0022664.1	1587	1512	0	0
h1SMnT0034919.1	1713	1638	19.7001	0.377468
h1SMcT0022665.1	9704	9629	9.74059	0.0317489
h1SMcT0022666.1	7223	7148	13.4592	0.0590964
h1SMcT0022667.1	10811	10736	51.4405	0.150379
h1SMnT0035274.2	204	129	0	0
h1SMcT0022950.1	1132	1057	12.6065	0.374321
h1SMnT0035104.1	1776	1701	3693.34	68.1459
h1SMnT0035105.1	369	294	1.38985e-08	1.4837e-09
h1SMnT0035106.1	677	602	29.6886	1.54781
h1SMcT0022811.1	4196	4121	11.8977	0.0906118
h1SMnT0035107.1	906	831	64.1023	2.42102
