target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	702.235	0	0
h1SMnT0035429.1	433	198.385	34	7.87592
h1SMnT0035428.2	1171	935.199	25.2718	1.24183
h1SMnT0035430.1	225	36.2601	0	0
h1SMcT0022937.1	1148	912.199	0	0
h1SMnT0035345.1	487	251.95	0	0
h1SMcT0022992.1	5186	4950.2	18.8382	0.174883
h1SMnT0035168.1	667	431.494	0	0
h1SMnT0035169.1	682	446.465	6	0.617582
h1SMnT0035364.1	3295	3059.2	0	0
h1SMnT0035365.1	822	586.368	0	0
h1SMnT0035366.1	3294	3058.2	38.5265	0.578929
h1SMnT0035367.1	2210	1974.2	0	0
h1SMnT0035368.1	649	413.501	0	0
h1SMnT0035369.1	3295	3059.2	0	0
h1SMnT0035370.1	1798	1562.2	30.4507	0.895759
h1SMcT0023064.1	649	413.501	15.6419	1.73837
h1SMcT0022911.1	964	728.211	0	0
h1SMcT0022912.1	1707	1471.2	40.4689	1.2641
h1SMnT0035348.1	2018	1782.2	73.6351	1.89871
h1SMcT0022995.1	1592	1356.2	0	0
h1SMnT0035349.1	581	345.62	0	0
h1SMnT0035350.1	437	202.325	21.9928	4.99532
h1SMnT0035351.1	251	45.1226	1	1.01844
h1SMnT0035439.1	173	34.0205	0	0
h1SMcT0023009.1	1809	1573.2	0.631134	0.0184361
h1SMnT0035408.1	676	440.48	0	0
h1SMnT0035149.1	469	234.095	0	0
h1SMcT0022739.1	1385	1149.2	0	0
h1SMcT0022740.2	1315	1079.2	77	3.27884
h1SMnT0035008.1	217	34.5847	0	0
h1SMnT0035009.1	403	168.94	0	0
h1SMnT0035304.1	214	34.2061	0	0
h1SMcT0023054.1	1130	894.199	0	0
h1SMcT0023055.1	5046	4810.2	54.2621	0.518399
h1SMcT0022976.1	1057	821.199	0	0
h1SMnT0035249.1	307	80.3614	0	0
h1SMnT0035250.1	410	175.758	5450	1424.99
h1SMnT0035251.1	2625	2389.2	0	0
h1SMcT0022931.1	1208	972.199	0	0
h1SMnT0035252.1	344	112.244	0	0
h1SMnT0035253.1	459	224.198	0	0
h1SMcT0022932.1	1030	794.199	278	16.0859
h1SMnT0035254.1	593	357.608	0	0
h1SMcT0022933.2	2471	2235.2	808.173	16.6157
h1SMnT0035255.1	3386	3150.2	131.409	1.91698
h1SMnT0035204.1	222	35.6456	0	0
h1SMnT0035205.1	1081	845.199	0	0
h1SMnT0035206.1	369	135.826	0	0
h1SMcT0022885.2	2036	1800.2	0	0
h1SMcT0022886.1	479	243.991	0	0
h1SMnT0035137.1	1237	1001.2	0	0
h1SMnT0035138.1	362	129.134	15.6474	5.56843
h1SMnT0035139.1	2159	1923.2	29.0255	0.693564
h1SMnT0035140.1	538	302.738	5.63194	0.854913
h1SMnT0035141.1	3293	3057.2	0	0
h1SMnT0035142.1	363	130.092	833.157	294.311
h1SMnT0035173.1	1063	827.199	293.891	16.327
h1SMnT0035174.1	867	631.358	14069.7	1024.1
h1SMnT0035175.1	3291	3055.2	0	0
h1SMnT0035176.1	363	130.092	833.157	294.311
h1SMnT0035177.1	2432	2196.2	1110.11	23.2287
h1SMcT0022892.1	2757	2521.2	417.61	7.61194
h1SMcT0022664.1	1587	1351.2	0	0
h1SMnT0034919.1	1713	1477.2	30.1443	0.93777
h1SMcT0022665.1	9704	9468.2	0	0
h1SMcT0022666.1	7223	6987.2	0	0
