target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	696.565	1	0.0701248
h1SMnT0035429.1	433	192.158	6	1.52519
h1SMnT0035428.2	1171	929.547	32.9323	1.73055
h1SMnT0035430.1	225	35.2808	0	0
h1SMcT0022937.1	1148	906.547	1	0.0538819
h1SMnT0035345.1	487	245.875	0	0
h1SMcT0022992.1	5186	4944.55	28.8106	0.284616
h1SMnT0035168.1	667	425.694	1	0.114745
h1SMnT0035169.1	682	440.694	1	0.11084
h1SMnT0035364.1	3295	3053.55	0	0
h1SMnT0035365.1	822	580.624	0	0
h1SMnT0035366.1	3294	3052.55	14.8591	0.237773
h1SMnT0035367.1	2210	1968.55	0	0
h1SMnT0035368.1	649	407.7	0	0
h1SMnT0035369.1	3295	3053.55	0	0
h1SMnT0035370.1	1798	1556.55	67.9664	2.13288
h1SMcT0023064.1	649	407.7	0	0
h1SMcT0022911.1	964	722.556	0	0
h1SMcT0022912.1	1707	1465.55	34.7958	1.15974
h1SMnT0035348.1	2018	1776.55	123.318	3.39066
h1SMcT0022995.1	1592	1350.55	0	0
h1SMnT0035349.1	581	339.742	2.98763	0.429548
h1SMnT0035350.1	437	196.117	13.1148	3.26648
h1SMnT0035351.1	251	42.6092	3	3.43915
h1SMnT0035439.1	173	32.322	0	0
h1SMcT0023009.1	1809	1567.55	1.26518	0.0394243
h1SMnT0035408.1	676	434.694	0	0
h1SMnT0035149.1	469	227.93	0	0
h1SMcT0022739.1	1385	1143.55	0	0
h1SMcT0022740.2	1315	1073.55	102	4.64101
h1SMnT0035008.1	217	34.1534	1	1.43021
h1SMnT0035009.1	403	162.543	0	0
h1SMnT0035304.1	214	33.8004	0	0
h1SMcT0023054.1	1130	888.547	0	0
h1SMcT0023055.1	5046	4804.55	87.6365	0.890975
h1SMcT0022976.1	1057	815.547	0	0
h1SMnT0035249.1	307	75.2003	0	0
h1SMnT0035250.1	410	169.437	7914	2281.5
h1SMnT0035251.1	2625	2383.55	5	0.102466
h1SMcT0022931.1	1208	966.547	0	0
h1SMnT0035252.1	344	106.339	0	0
h1SMnT0035253.1	459	217.967	0	0
h1SMcT0022932.1	1030	788.547	279	17.2826
h1SMnT0035254.1	593	351.729	0	0
h1SMcT0022933.2	2471	2229.55	941.11	20.6185
h1SMnT0035255.1	3386	3144.55	109.795	1.70553
h1SMnT0035204.1	222	34.7681	0	0
h1SMnT0035205.1	1081	839.547	2	0.116364
h1SMnT0035206.1	369	129.547	0	0
h1SMcT0022885.2	2036	1794.55	0	0
h1SMcT0022886.1	479	237.893	0	0
h1SMnT0035137.1	1237	995.547	0.00053774	2.63842e-05
h1SMnT0035138.1	362	122.874	5.46253	2.17154
h1SMnT0035139.1	2159	1917.55	0	0
h1SMnT0035140.1	538	296.773	9.93527	1.63527
h1SMnT0035141.1	3293	3051.55	0	0
h1SMnT0035142.1	363	123.813	486.014	191.741
h1SMnT0035173.1	1063	821.547	179.266	10.6585
h1SMnT0035174.1	867	625.624	8081.11	630.944
h1SMnT0035175.1	3291	3049.55	0	0
h1SMnT0035176.1	363	123.813	486.014	191.741
h1SMnT0035177.1	2432	2190.55	2709.62	60.4211
h1SMcT0022892.1	2757	2515.55	566.043	10.9913
h1SMcT0022664.1	1587	1345.55	37.5696	1.36386
h1SMnT0034919.1	1713	1471.55	27.2913	0.905906
h1SMcT0022665.1	9704	9462.55	0	0
h1SMcT0022666.1	7223	6981.55	4.6404	0.0324666
h1SMcT0022667.1	10811	10569.5	12.0024	0.0554683
h1SMnT0035274.2	204	32.9287	0	0
h1SMcT0022950.1	1132	890.547	3	0.16455
h1SMnT0035104.1	1776	1534.55	15048.2	479.001
h1SMnT0035105.1	369	129.547	0	0
h1SMnT0035106.1	677	435.694	12.9226	1.44878
h1SMcT0022811.1	4196	3954.55	37.7987	0.466888
h1SMnT0035107.1	906	664.6	48.2316	3.5449
h1SMcT0022812.1	3862	3620.55	4.57189	0.0616814
h1SMnT0035108.1	942	700.565	93.0004	6.4844
h1SMnT0035109.1	1235	993.547	0.00567727	0.000279116
h1SMnT0035110.1	557	315.758	0.02909	0.00450011
h1SMnT0035167.1	426	185.248	0	0
h1SMcT0022861.1	1552	1310.55	38.407	1.4315
h1SMcT0023025.1	1272	1030.55	191.403	9.07225
h1SMnT0035154.1	904	662.608	0	0
h1SMcT0022833.1	1591	1349.55	61.5615	2.2282
h1SMcT0022893.1	2162	1920.55	0	0
h1SMcT0022736.1	505	263.833	6	1.11085
h1SMcT0022737.1	1029	787.547	31	1.92273
h1SMcT0022738.1	1350	1108.55	0	0
h1SMnT0035322.1	217	34.1534	0	0
h1SMnT0035323.1	735	493.671	0	0
h1SMnT0035324.2	335	98.3014	46	22.8576
h1SMnT0035227.1	1397	1155.55	0	0
h1SMcT0022909.1	874	632.616	38.0473	2.93776
h1SMnT0035228.1	568	326.742	34.3904	5.14122
h1SMnT0035229.1	524	282.795	0	0
h1SMcT0023038.1	2979	2737.55	1008.69	17.9983
h1SMnT0035422.1	134	32.9439	0	0
h1SMcT0023039.2	1098	856.547	22.663	1.29241
h1SMnT0035423.1	937	695.565	84.1952	5.91266
h1SMnT0035424.1	2291	2049.55	90	2.14495
h1SMcT0023051.1	1760	1518.55	0	0
h1SMnT0035447.1	696	454.689	0	0
h1SMnT0035467.1	305	73.7473	0	0
h1SMcT0022957.1	540	298.773	4	0.65396
h1SMcT0022958.1	458	216.972	6.91187	1.55606
h1SMcT0022975.1	1214	972.547	0	0
h1SMnT0035371.1	220	34.5393	0	0
h1SMnT0035222.1	841	599.624	0	0
h1SMcT0022906.1	785	543.645	0	0
h1SMnT0034950.1	246	40.8343	0	0
h1SMnT0035278.1	532	290.781	0	0
h1SMnT0035279.1	127	32.7253	0	0
h1SMcT0022952.1	2293	2051.55	174.771	4.16124
h1SMnT0035280.1	972	730.556	16.2262	1.08492
h1SMnT0035281.1	1330	1088.55	36.934	1.65734
h1SMcT0022934.1	19276	19034.5	4117.79	10.5671
h1SMcT0022898.1	1257	1015.55	0	0
h1SMcT0022899.1	1154	912.547	0	0
h1SMcT0022900.1	2875	2633.55	0	0
h1SMcT0022901.1	1798	1556.55	2.05819e-05	6.45887e-07
h1SMnT0035418.1	379	139.13	0	0
h1SMnT0035419.1	572	330.742	0	0
h1SMcT0023037.1	4734	4492.55	16.9708	0.18452
h1SMnT0035420.1	226	35.4717	0	0
h1SMnT0035096.1	559	317.758	0.00035633	5.47758e-05
h1SMcT0022872.1	985	743.547	0	0
h1SMcT0022814.1	2646	2404.55	0	0
h1SMcT0022815.1	2022	1780.55	13	0.356634
h1SMcT0022816.1	3124	2882.55	46.608	0.7898
h1SMcT0022656.1	6668	6426.55	51.1809	0.389013
h1SMnT0034905.1	1057	815.547	1.18314	0.0708631
h1SMcT0022657.2	3525	3283.55	467.421	6.95342
h1SMnT0034906.1	553	311.766	9	1.41009
h1SMnT0034907.1	1610	1368.55	23.8166	0.850066
h1SMnT0034908.1	674	432.694	18.8797	2.13131
h1SMnT0034909.1	344	106.339	0	0
h1SMnT0034910.1	874	632.616	0	0
h1SMcT0022658.1	895	653.608	0	0
h1SMnT0035333.1	518	276.806	0	0
h1SMcT0022983.2	1765	1523.55	261.833	8.39465
