Motif	Factor	Evidence	Curated
MA0265.1_ABF1	h1SMcG0018604	Orthologs	N
MA0265.1_ABF1	h1SMcG0004451	Orthologs	N
MA0265.1_ABF1	h1SMcG0007018	Orthologs	N
MA0265.1_ABF1	h1SMcG0022832	Orthologs	N
MA0265.1_ABF1	h1SMnG0012616	Orthologs	N
MA0265.1_ABF1	h1SMcG0021180	Orthologs	N
MA0265.1_ABF1	h1SMcG0018400	Orthologs	N
MA0265.1_ABF1	h1SMcG0001162	Orthologs	N
MA0265.1_ABF1	h1SMcG0008214	Orthologs	N
MA0265.1_ABF1	h1SMcG0009326	Orthologs	N
MA0265.1_ABF1	h1SMcG0002524	Orthologs	N
MA0265.1_ABF1	h1SMnG0030649	Orthologs	N
MA0265.1_ABF1	h1SMcG0019258	Orthologs	N
MA0265.1_ABF1	h1SMcG0016534	Orthologs	N
MA0265.1_ABF1	h1SMcG0001060	Orthologs	N
MA0265.1_ABF1	h1SMcG0001334	Orthologs	N
MA0265.1_ABF1	h1SMcG0021898	Orthologs	N
MA0570.2_ABF1	h1SMcG0018604	Orthologs	N
MA0570.2_ABF1	h1SMcG0004451	Orthologs	N
MA0570.2_ABF1	h1SMcG0007018	Orthologs	N
MA0570.2_ABF1	h1SMcG0022832	Orthologs	N
MA0570.2_ABF1	h1SMnG0012616	Orthologs	N
MA0570.2_ABF1	h1SMcG0021180	Orthologs	N
MA0570.2_ABF1	h1SMcG0018400	Orthologs	N
MA0570.2_ABF1	h1SMcG0001162	Orthologs	N
MA0570.2_ABF1	h1SMcG0008214	Orthologs	N
MA0570.2_ABF1	h1SMcG0009326	Orthologs	N
MA0570.2_ABF1	h1SMcG0002524	Orthologs	N
MA0570.2_ABF1	h1SMnG0030649	Orthologs	N
MA0570.2_ABF1	h1SMcG0019258	Orthologs	N
MA0570.2_ABF1	h1SMcG0016534	Orthologs	N
MA0570.2_ABF1	h1SMcG0001060	Orthologs	N
MA0570.2_ABF1	h1SMcG0001334	Orthologs	N
MA0570.2_ABF1	h1SMcG0021898	Orthologs	N
MA0266.1_ABF2	NO ORTHOLOGS FOUND	Orthologs	N
MA0941.1_ABF2	NO ORTHOLOGS FOUND	Orthologs	N
MA0930.1_ABF3	NO ORTHOLOGS FOUND	Orthologs	N
MA1659.1_ABF4	NO ORTHOLOGS FOUND	Orthologs	N
MA0564.1_ABI3	NO ORTHOLOGS FOUND	Orthologs	N
MA0123.1_abi4	NO ORTHOLOGS FOUND	Orthologs	N
MA0931.1_ABI5	NO ORTHOLOGS FOUND	Orthologs	N
MA1244.1_ABR1	NO ORTHOLOGS FOUND	Orthologs	N
MA0267.1_ACE2	NO ORTHOLOGS FOUND	Orthologs	N
MA0207.1_achi	NO ORTHOLOGS FOUND	Orthologs	N
MA1277.1_Adof1	NO ORTHOLOGS FOUND	Orthologs	N
MA0268.1_ADR1	NO ORTHOLOGS FOUND	Orthologs	N
MA0269.1_AFT1	NO ORTHOLOGS FOUND	Orthologs	N
MA0270.1_AFT2	NO ORTHOLOGS FOUND	Orthologs	N
MA0005.2_AG	NO ORTHOLOGS FOUND	Orthologs	N
MA0585.1_AGL1	NO ORTHOLOGS FOUND	Orthologs	N
MA1204.1_AGL13	NO ORTHOLOGS FOUND	Orthologs	N
MA0548.2_AGL15	NO ORTHOLOGS FOUND	Orthologs	N
MA1199.1_AGL16	NO ORTHOLOGS FOUND	Orthologs	N
MA1200.1_AGL25	NO ORTHOLOGS FOUND	Orthologs	N
MA1012.1_AGL27	NO ORTHOLOGS FOUND	Orthologs	N
MA0001.2_AGL3	NO ORTHOLOGS FOUND	Orthologs	N
MA1201.1_AGL42	NO ORTHOLOGS FOUND	Orthologs	N
MA1202.1_AGL55	NO ORTHOLOGS FOUND	Orthologs	N
MA1205.1_AGL6	NO ORTHOLOGS FOUND	Orthologs	N
MA1203.1_AGL63	NO ORTHOLOGS FOUND	Orthologs	N
MA0932.1_AHL12	NO ORTHOLOGS FOUND	Orthologs	N
MA0933.1_AHL20	NO ORTHOLOGS FOUND	Orthologs	N
MA0934.1_AHL25	NO ORTHOLOGS FOUND	Orthologs	N
MA0006.1_Ahr::Arnt	h1SMcG0011688	Orthologs	N
MA0006.1_Ahr::Arnt	h1SMcG0020191	Orthologs	N
MA0959.1_AIB	NO ORTHOLOGS FOUND	Orthologs	N
MA1235.1_AIL7	NO ORTHOLOGS FOUND	Orthologs	N
MA0854.1_Alx1	h1SMcG0020456	Orthologs	N
MA0854.1_Alx1	h1SMcG0016366	Orthologs	N
MA0854.1_Alx1	h1SMcG0006684	Orthologs	N
MA0854.1_Alx1	h1SMcG0008475	Orthologs	N
MA0854.1_Alx1	h1SMcG0015394	Orthologs	N
MA0854.1_Alx1	h1SMcG0022016	Orthologs	N
MA0854.1_Alx1	h1SMcG0007253	Orthologs	N
MA0854.1_Alx1	h1SMcG0000761	Orthologs	N
MA0854.1_Alx1	h1SMcG0002883	Orthologs	N
MA0854.1_Alx1	h1SMcG0022849	Orthologs	N
MA0854.1_Alx1	h1SMcG0003736	Orthologs	N
