target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	673.352	2	0.0703046
h1SMnT0035429.1	433	171.213	2	0.276496
h1SMnT0035428.2	1171	906.352	25.3641	0.662396
h1SMnT0035430.1	225	38.3546	0	0
h1SMcT0022937.1	1148	883.352	0	0
h1SMnT0035345.1	487	223.823	0	0
h1SMcT0022992.1	5186	4921.35	5.10278	0.0245425
h1SMnT0035168.1	667	402.554	0	0
h1SMnT0035169.1	682	417.531	2	0.11338
h1SMnT0035364.1	3295	3030.35	0	0
h1SMnT0035365.1	822	557.368	0	0
h1SMnT0035366.1	3294	3029.35	0	0
h1SMnT0035367.1	2210	1945.35	5.58646e-06	6.79727e-08
h1SMnT0035368.1	649	384.582	0	0
h1SMnT0035369.1	3295	3030.35	8.02434	0.0626775
h1SMnT0035370.1	1798	1533.35	110.113	1.69977
h1SMcT0023064.1	649	384.582	0	0
h1SMcT0022911.1	964	699.352	7.10455	0.240457
h1SMcT0022912.1	1707	1442.35	8.12461	0.13333
h1SMnT0035348.1	2018	1753.35	63.3209	0.854819
h1SMcT0022995.1	1592	1327.35	8.28174e-08	1.47683e-09
h1SMnT0035349.1	581	316.803	0	0
h1SMnT0035350.1	437	175.034	4.22678	0.571589
h1SMnT0035351.1	251	41.4586	3	1.71278
h1SMnT0035439.1	173	39.3338	0	0
h1SMcT0023009.1	1809	1544.35	2.10932	0.032329
h1SMnT0035408.1	676	411.542	0	0
h1SMnT0035149.1	469	206.137	0.30097	0.0345591
h1SMcT0022739.1	1385	1120.35	0	0
h1SMcT0022740.2	1315	1050.35	243	5.47605
h1SMnT0035008.1	217	38.3643	1	0.616977
h1SMnT0035009.1	403	142.562	0	0
h1SMnT0035304.1	214	38.4269	0	0
h1SMcT0023054.1	1130	865.352	0	0
h1SMcT0023055.1	5046	4781.35	5.03353	0.0249183
h1SMcT0022976.1	1057	792.352	0	0
h1SMnT0035249.1	307	64.5429	0	0
h1SMnT0035250.1	410	149.165	11775	1868.49
h1SMnT0035251.1	2625	2360.35	0	0
h1SMcT0022931.1	1208	943.352	0	0
h1SMnT0035252.1	344	90.6451	0	0
h1SMnT0035253.1	459	196.406	0	0
h1SMcT0022932.1	1030	765.352	393	12.1542
h1SMnT0035254.1	593	328.775	0	0
h1SMcT0022933.2	2471	2206.35	307.203	3.29569
h1SMnT0035255.1	3386	3121.35	20.5295	0.15568
h1SMnT0035204.1	222	38.2885	0	0
h1SMnT0035205.1	1081	816.352	2	0.0579894
h1SMnT0035206.1	369	111.653	0	0
h1SMcT0022885.2	2036	1771.35	0	0
h1SMcT0022886.1	479	215.969	0	0
h1SMnT0035137.1	1237	972.352	0	0
h1SMnT0035138.1	362	105.544	4.09975	0.919434
h1SMnT0035139.1	2159	1894.35	42.4005	0.529793
h1SMnT0035140.1	538	274.133	6.50612	0.561767
h1SMnT0035141.1	3293	3028.35	0	0
h1SMnT0035142.1	363	106.439	111.748	24.8504
h1SMnT0035173.1	1063	798.352	2.05363e-06	6.08869e-08
h1SMnT0035174.1	867	602.352	3765.27	147.959
h1SMnT0035175.1	3291	3026.35	0	0
h1SMnT0035176.1	363	106.439	111.748	24.8504
h1SMnT0035177.1	2432	2167.35	755.517	8.25107
h1SMcT0022892.1	2757	2492.35	360.667	3.42525
h1SMcT0022664.1	1587	1322.35	0	0
h1SMnT0034919.1	1713	1448.35	8	0.130741
h1SMcT0022665.1	9704	9439.35	2.07384	0.0052003
h1SMcT0022666.1	7223	6958.35	0	0
h1SMcT0022667.1	10811	10546.4	0	0
h1SMnT0035274.2	204	38.5349	0	0
h1SMcT0022950.1	1132	867.352	4	0.109159
h1SMnT0035104.1	1776	1511.35	14629.3	229.115
h1SMnT0035105.1	369	111.653	0	0
h1SMnT0035106.1	677	412.542	22.3304	1.28122
h1SMcT0022811.1	4196	3931.35	2.77556	0.0167111
h1SMnT0035107.1	906	641.352	34.8746	1.28709
h1SMcT0022812.1	3862	3597.35	0	0
h1SMnT0035108.1	942	677.352	102.503	3.58195
h1SMnT0035109.1	1235	970.352	0	0
h1SMnT0035110.1	557	292.964	17.8184	1.43963
h1SMnT0035167.1	426	164.497	2	0.287785
h1SMcT0022861.1	1552	1287.35	21.8105	0.401019
h1SMcT0023025.1	1272	1007.35	356.316	8.37239
h1SMnT0035154.1	904	639.352	0	0
h1SMcT0022833.1	1591	1326.35	70.1121	1.25121
h1SMcT0022893.1	2162	1897.35	0	0
h1SMcT0022736.1	505	241.514	0	0
h1SMcT0022737.1	1029	764.352	62	1.91997
h1SMcT0022738.1	1350	1085.35	12	0.261702
h1SMnT0035322.1	217	38.3643	0	0
h1SMnT0035323.1	735	470.461	0	0
h1SMnT0035324.2	335	83.6414	108.607	30.735
h1SMnT0035227.1	1397	1132.35	0	0
h1SMcT0022909.1	874	609.352	57.034	2.21545
h1SMnT0035228.1	568	303.9	88.6914	6.90791
h1SMnT0035229.1	524	260.286	2	0.181876
h1SMcT0023038.1	2979	2714.35	833.588	7.26911
h1SMnT0035422.1	134	37.1536	0	0
h1SMcT0023039.2	1098	833.352	37.1855	1.05619
h1SMnT0035423.1	937	672.352	6	0.211228
h1SMnT0035424.1	2291	2026.35	1	0.011681
h1SMcT0023051.1	1760	1495.35	0	0
h1SMnT0035447.1	696	431.518	9.90988	0.543581
h1SMnT0035467.1	305	63.3376	0	0
h1SMcT0022957.1	540	276.13	4	0.342881
h1SMcT0022958.1	458	195.425	0	0
h1SMcT0022975.1	1214	949.352	0	0
h1SMnT0035371.1	220	38.3085	0	0
h1SMnT0035222.1	841	576.352	0	0
h1SMcT0022906.1	785	520.383	0	0
h1SMnT0034950.1	246	40.5387	0	0
h1SMnT0035278.1	532	268.188	0	0
h1SMnT0035279.1	127	37.1222	0	0
h1SMcT0022952.1	2293	2028.35	520.745	6.07684
h1SMnT0035280.1	972	707.352	0	0
h1SMnT0035281.1	1330	1065.35	6	0.133307
h1SMcT0022934.1	19276	19011.4	760.548	0.946911
h1SMcT0022898.1	1257	992.352	0	0
h1SMcT0022899.1	1154	889.352	0	0
h1SMcT0022900.1	2875	2610.35	0	0
h1SMcT0022901.1	1798	1533.35	2.75034e-05	4.24561e-07
h1SMnT0035418.1	379	120.458	0	0
h1SMnT0035419.1	572	307.834	0	0
h1SMcT0023037.1	4734	4469.35	4.71771	0.0249852
h1SMnT0035420.1	226	38.4841	0	0
h1SMnT0035096.1	559	294.955	0	0
h1SMcT0022872.1	985	720.352	0.000708601	2.32838e-05
h1SMcT0022814.1	2646	2381.35	0	0
h1SMcT0022815.1	2022	1757.35	7	0.0942834
h1SMcT0022816.1	3124	2859.35	10.7754	0.089199
h1SMcT0022656.1	6668	6403.35	0	0
h1SMnT0034905.1	1057	792.352	0	0
h1SMcT0022657.2	3525	3260.35	428.485	3.11076
h1SMnT0034906.1	553	288.993	0	0
h1SMnT0034907.1	1610	1345.35	0	0
h1SMnT0034908.1	674	409.554	5.20119	0.300599
h1SMnT0034909.1	344	90.6451	0	0
h1SMnT0034910.1	874	609.352	0	0
h1SMcT0022658.1	895	630.352	62.362	2.34171
h1SMnT0035333.1	518	254.349	1	0.0930606
h1SMcT0022983.2	1765	1500.35	250.769	3.95619
h1SMnT0035334.1	355	99.5671	0	0
h1SMnT0035335.1	347	92.9823	0	0
h1SMcT0022982.1	1733	1468.35	0	0
h1SMnT0035165.1	414	152.976	0	0
h1SMnT0035166.1	311	67.031	0	0
h1SMcT0022650.1	3691	3426.35	0	0
h1SMcT0022651.1	3742	3477.35	0	0
h1SMnT0034903.1	1789	1524.35	0	0
h1SMcT0022652.1	16757	16492.4	0	0
h1SMcT0022653.1	7978	7713.35	0	0
h1SMnT0034904.1	2408	2143.35	0	0
h1SMcT0022643.1	1273	1008.35	357.376	8.38897
h1SMcT0022644.1	746	481.427	0	0
h1SMcT0022645.1	752	487.427	0	0
h1SMcT0022646.1	812	547.368	0	0
h1SMcT0022878.1	3135	2870.35	204.33	1.68497
h1SMnT0035197.1	681	416.531	0	0
h1SMcT0022879.1	645	380.593	0	0
h1SMcT0022880.1	1003	738.352	0	0
h1SMnT0035198.1	3014	2749.35	25	0.215231
h1SMcT0022974.1	15547	15282.4	157.713	0.244271
h1SMnT0035321.1	630	365.604	0	0
h1SMnT0035305.1	1121	856.352	1381.7	38.1907
h1SMnT0035306.1	1778	1513.35	3415.55	53.4216
h1SMnT0035307.1	531	267.207	0	0
h1SMnT0035308.1	1309	1044.35	0	0
h1SMnT0035309.1	1106	841.352	0	0
h1SMnT0035310.1	1917	1652.35	8801.19	126.077
h1SMnT0035311.1	1033	768.352	1.31104e-08	4.0388e-10
h1SMnT0035312.1	3291	3026.35	0	0
h1SMnT0035313.1	363	106.439	111.748	24.8504
h1SMnT0035314.1	3292	3027.35	0	0
h1SMnT0035315.1	1694	1429.35	2.43622e-07	4.03434e-09
h1SMnT0035316.1	2161	1896.35	0	0
h1SMcT0022894.1	1956	1691.35	29.5204	0.413128
h1SMnT0035285.1	673	408.554	0	0
h1SMnT0035286.1	153	38.9789	0	0
h1SMnT0035287.1	556	291.976	0	0
h1SMnT0035288.1	558	293.96	0	0
h1SMnT0035289.4	2122	1857.35	22.7677	0.290149
h1SMcT0022955.1	8642	8377.35	5.55808	0.0157041
h1SMcT0023031.1	565	300.93	0.429519	0.0337841
h1SMnT0035406.1	1639	1374.35	16.0181	0.275873
h1SMcT0023032.1	1505	1240.35	22.3779	0.427042
h1SMnT0035407.1	2457	2192.35	5.36419	0.0579149
h1SMcT0022953.1	2474	2209.35	0	0
h1SMcT0022996.1	3781	3516.35	10.5456	0.0709863
h1SMcT0022890.1	1269	1004.35	368.262	8.67895
h1SMnT0035209.1	395	135.106	0	0
h1SMcT0022891.1	597	332.737	0	0
h1SMnT0035210.1	396	136.033	10.6708	1.85672
h1SMnT0035211.1	681	416.531	4	0.227305
h1SMcT0022866.1	913	648.352	24.5435	0.896027
h1SMcT0022973.1	3555	3290.35	32.501	0.233803
h1SMnT0035320.1	1153	888.352	2	0.0532894
h1SMnT0035457.1	224	38.4183	0	0
h1SMcT0023053.1	1061	796.352	178.969	5.31946
h1SMnT0035458.1	385	125.878	0	0
h1SMcT0023003.1	902	637.352	526	19.5345
h1SMnT0035361.1	949	684.352	0	0
h1SMnT0035362.1	212	38.4973	0	0
h1SMcT0023004.1	713	448.487	1	0.0527771
h1SMcT0022831.1	1756	1491.35	0	0
h1SMnT0035146.1	130	36.7603	0	0
h1SMnT0035147.1	329	79.165	0	0
h1SMnT0035148.1	441	178.906	0	0
h1SMcT0022832.1	1390	1125.35	672.366	14.1421
h1SMcT0022887.1	2842	2577.35	0	0
